largest,size_to_switch,keycomparisons,timetaken,numitems
10000000,4,216603270,0:01:07.328934,10000000
10000000,4,216601356,0:01:05.504465,10000000
1000,6,8300,0:00:00.003002,1000
1000,6,8265,0:00:00.002999,1000
1000,6,116161,0:00:00.033998,10000
1000,6,116149,0:00:00.036004,10000
1000,6,1497593,0:00:00.398008,100000
1000,6,1496992,0:00:00.388014,100000
1000,6,18257119,0:00:04.774122,1000000
1000,6,18257583,0:00:04.839493,1000000
1000,6,215738798,0:00:58.699534,10000000
1000,6,215738338,0:01:01.288314,10000000
10000,6,8246,0:00:00.001999,1000
10000,6,8330,0:00:00.004002,1000
10000,6,116155,0:00:00.040992,10000
10000,6,116130,0:00:00.048003,10000
10000,6,1497033,0:00:00.404040,100000
10000,6,1497185,0:00:00.391484,100000
10000,6,18260460,0:00:05.186290,1000000
10000,6,18261034,0:00:05.115206,1000000
10000,6,215793117,0:01:06.501513,10000000
10000,6,215792587,0:01:03.180032,10000000
100000,6,8311,0:00:00.003000,1000
100000,6,8301,0:00:00.019992,1000
100000,6,116168,0:00:00.032001,10000
100000,6,116014,0:00:00.031000,10000
100000,6,1496891,0:00:00.403006,100000
100000,6,1497760,0:00:00.373332,100000
100000,6,18262777,0:00:05.050123,1000000
100000,6,18262154,0:00:04.977507,1000000
100000,6,215798018,0:01:02.542196,10000000
100000,6,215806009,0:01:12.173112,10000000
1000000,6,8322,0:00:00.036999,1000
1000000,6,8274,0:00:00.003003,1000
1000000,6,116230,0:00:00.029993,10000
1000000,6,116066,0:00:00.029001,10000
1000000,6,1497530,0:00:00.387002,100000
1000000,6,1497356,0:00:00.411545,100000
1000000,6,18262193,0:00:05.113167,1000000
1000000,6,18259788,0:00:05.065869,1000000
1000000,6,215798843,0:01:02.844652,10000000
1000000,6,215798529,0:01:02.234927,10000000
10000000,6,8272,0:00:00.001998,1000
10000000,6,8297,0:00:00.002000,1000
10000000,6,116319,0:00:00.028999,10000
10000000,6,116179,0:00:00.029002,10000
10000000,6,1497366,0:00:00.389007,100000
10000000,6,1497207,0:00:00.378997,100000
10000000,6,18260814,0:00:05.059777,1000000
10000000,6,18262022,0:00:05.176091,1000000
10000000,6,215800967,0:01:03.009197,10000000
10000000,6,215800514,0:01:02.248116,10000000
000,7,8350,0:00:00.001993,1000
1000,7,8335,0:00:00.002977,1000
1000,7,116107,0:00:00.028996,10000
1000,7,116454,0:00:00.029996,10000
1000,7,1498323,0:00:00.373035,100000
1000,7,1497809,0:00:00.365018,100000
1000,7,18285704,0:00:04.883673,1000000
1000,7,18286754,0:00:04.772644,1000000
1000,7,215730928,0:01:00.379660,10000000
1000,7,215733364,0:00:58.670751,10000000
10000,7,8310,0:00:00.002010,1000
10000,7,8303,0:00:00.002031,1000
10000,7,116264,0:00:00.029195,10000
10000,7,116315,0:00:00.028992,10000
10000,7,1497834,0:00:00.375647,100000
10000,7,1498370,0:00:00.362092,100000
10000,7,18291244,0:00:05.073048,1000000
10000,7,18291173,0:00:04.951813,1000000
10000,7,215790360,0:01:03.374920,10000000
10000,7,215797578,0:01:03.518553,10000000
100000,7,8318,0:00:00.001990,1000
100000,7,8319,0:00:00.002998,1000
100000,7,116111,0:00:00.029996,10000
100000,7,116062,0:00:00.029973,10000
100000,7,1498206,0:00:00.362000,100000
100000,7,1498640,0:00:00.363001,100000
100000,7,18290209,0:00:04.997273,1000000
100000,7,18291445,0:00:04.986667,1000000
100000,7,215791748,0:01:03.258364,10000000
100000,7,215794649,0:01:03.770379,10000000
1000000,7,8337,0:00:00.001999,1000
1000000,7,8296,0:00:00.001996,1000
1000000,7,116171,0:00:00.028994,10000
1000000,7,116189,0:00:00.027998,10000
1000000,7,1498032,0:00:00.370913,100000
1000000,7,1498402,0:00:00.365005,100000
1000000,7,18289451,0:00:05.001735,1000000
1000000,7,18289233,0:00:04.945613,1000000
1000000,7,215795108,0:01:03.670405,10000000
1000000,7,215802806,0:01:03.517300,10000000
10000000,7,8296,0:00:00.002999,1000
10000000,7,8331,0:00:00.003989,1000
10000000,7,116134,0:00:00.029023,10000
