largest,size_to_switch,keycomparisons,timetaken
100000,15,19890273,0:00:05.213070
100000,15,226416426,0:01:03.810416
100000,15,226415861,0:01:02.641689
1000000,15,9566,0:00:00.003000
1000000,15,9592,0:00:00.003008
1000000,15,127196,0:00:00.033008
1000000,15,127180,0:00:00.031003
1000000,15,1638777,0:00:00.389019
1000000,15,1639051,0:00:00.388020
1000000,15,19885877,0:00:05.088688
1000000,15,19890099,0:00:05.208186
1000000,15,226421613,0:01:03.844769
1000000,15,226415807,0:01:03.701940
10000000,15,9538,0:00:00.003000
10000000,15,9550,0:00:00.003018
10000000,15,127238,0:00:00.030028
10000000,15,126918,0:00:00.029020
10000000,15,1638614,0:00:00.387008
10000000,15,1640015,0:00:00.384047
10000000,15,19889925,0:00:05.090196
10000000,15,19887762,0:00:05.059189
10000000,15,226422338,0:01:04.808568
10000000,15,226412027,0:01:04.672934
1000,20,10344,0:00:00.002999
1000,20,10335,0:00:00.002991
1000,20,142969,0:00:00.032989
1000,20,143949,0:00:00.034010
1000,20,1638902,0:00:00.383007
1000,20,1638271,0:00:00.383018
1000,20,20216351,0:00:04.969099
1000,20,20214545,0:00:04.940205
1000,20,242199759,0:01:02.110565
1000,20,242223064,0:01:02.276617
10000,20,10296,0:00:00.002010
10000,20,10361,0:00:00.002986
10000,20,143765,0:00:00.033976
10000,20,143636,0:00:00.033986
10000,20,1639225,0:00:00.385010
10000,20,1638895,0:00:00.384996
10000,20,20220229,0:00:05.095944
10000,20,20224289,0:00:05.099834
10000,20,242325022,0:01:07.666641
10000,20,242325840,0:01:07.794413
100000,20,10300,0:00:00.003001
100000,20,10279,0:00:00.003000
100000,20,143598,0:00:00.033996
100000,20,143380,0:00:00.033998
100000,20,1639234,0:00:00.403530
100000,20,1638620,0:00:00.393005
100000,20,20225492,0:00:05.285229
100000,20,20222742,0:00:05.291977
100000,20,242311686,0:01:08.244872
100000,20,242316297,0:01:07.672239
1000000,20,10167,0:00:00.002998
1000000,20,10390,0:00:00.002986
1000000,20,144355,0:00:00.033008
