1000,0,17400,0:00:00.003000,0:00:00.001998
1000,0,17398,0:00:00.002996,0:00:00.003001
1000,0,240746,0:00:00.035994,0:00:00.035999
1000,0,240922,0:00:00.037000,0:00:00.036003
1000,0,3073032,0:00:00.450015,0:00:00.430991
1000,0,3072612,0:00:00.425038,0:00:00.424991
1000,0,37342640,0:00:05.333984,0:00:05.318577
1000,0,37340416,0:00:05.373269,0:00:05.399891
1000,0,440097106,0:01:06.340452,0:01:06.553742
1000,0,440095974,0:01:05.032389,0:01:05.951448
10000,0,17402,0:00:00.003998,0:00:00.002998
10000,0,17370,0:00:00.003003,0:00:00.002994
10000,0,240814,0:00:00.036999,0:00:00.038001
10000,0,241024,0:00:00.036007,0:00:00.035001
10000,0,3073266,0:00:00.458019,0:00:00.440979
10000,0,3072484,0:00:00.445955,0:00:00.441024
10000,0,37345474,0:00:05.658367,0:00:05.700411
10000,0,37347408,0:00:05.693523,0:00:05.720290
10000,0,440195090,0:01:10.319709,0:01:09.515212
10000,0,440191200,0:01:09.693294,0:01:10.978013
100000,0,17432,0:00:00.002999,0:00:00.002999
100000,0,17366,0:00:00.001998,0:00:00.003001
100000,0,240906,0:00:00.037001,0:00:00.036995
100000,0,241036,0:00:00.040001,0:00:00.037998
100000,0,3072292,0:00:00.470002,0:00:00.449027
100000,0,3072270,0:00:00.451000,0:00:00.460672
100000,0,37350354,0:00:05.789306,0:00:05.728278
100000,0,37349280,0:00:05.765998,0:00:05.733705
100000,0,440198680,0:01:09.749131,0:01:11.369279
100000,0,440197782,0:01:09.959400,0:01:10.815352
1000000,0,17354,0:00:00.003001,0:00:00.002994
1000000,0,17428,0:00:00.002997,0:00:00.003000
1000000,0,240788,0:00:00.036000,0:00:00.036001
1000000,0,240918,0:00:00.035001,0:00:00.035999
1000000,0,3072622,0:00:00.526026,0:00:00.518975
1000000,0,3072462,0:00:00.477009,0:00:00.505992
1000000,0,37347594,0:00:05.631629,0:00:05.915300
1000000,0,37348696,0:00:05.619699,0:00:05.875325
1000000,0,440192874,0:01:09.391744,0:01:09.453315
1000000,0,440202342,0:01:08.183544,0:01:09.612804
10000000,0,17406,0:00:00.002999,0:00:00.002999
10000000,0,17404,0:00:00.002997,0:00:00.003003
10000000,0,240938,0:00:00.037000,0:00:00.036000
10000000,0,240894,0:00:00.035000,0:00:00.035001
10000000,0,3072610,0:00:00.474009,0:00:00.462993
10000000,0,3072500,0:00:00.475004,0:00:00.434022
10000000,0,37347528,0:00:06.083530,0:00:05.514738
10000000,0,37348304,0:00:05.810100,0:00:05.554096
10000000,0,440204762,0:01:11.180534,0:01:09.072048
10000000,0,440199796,0:01:10.346349,0:01:09.854207
1000,5,17552,0:00:00.002003,0:00:00.002997
1000,5,17488,0:00:00.003000,0:00:00.001998
1000,5,243090,0:00:00.033001,0:00:00.030999
1000,5,243188,0:00:00.029999,0:00:00.032003
1000,5,3073092,0:00:00.396027,0:00:00.569980
1000,5,3072928,0:00:00.406003,0:00:00.403006
1000,5,37447720,0:00:05.170441,0:00:05.172988
1000,5,37445904,0:00:05.005351,0:00:04.938394
1000,5,442097706,0:01:03.123563,0:01:01.756419
1000,5,442089260,0:01:02.019693,0:01:01.368686
10000,5,17592,0:00:00.003002,0:00:00.001998
10000,5,17534,0:00:00.001998,0:00:00.003002
10000,5,243008,0:00:00.031002,0:00:00.030001
10000,5,242914,0:00:00.032001,0:00:00.031999
10000,5,3072888,0:00:00.403009,0:00:00.393699
10000,5,3072704,0:00:00.392026,0:00:00.411976
10000,5,37454812,0:00:05.139901,0:00:05.099920
10000,5,37457154,0:00:05.236027,0:00:05.150883
10000,5,442209176,0:01:06.352280,0:01:04.732135
10000,5,442212394,0:01:03.992164,0:01:06.944746
100000,5,17528,0:00:00.001999,0:00:00.003000
100000,5,17500,0:00:00.001998,0:00:00.002998
100000,5,242842,0:00:00.045999,0:00:00.040001
100000,5,243166,0:00:00.038999,0:00:00.035002
100000,5,3073398,0:00:00.409007,0:00:00.401000
100000,5,3073014,0:00:00.413025,0:00:00.397983
100000,5,37453558,0:00:05.309253,0:00:05.408602
