time_taken(ms),numOfEdges,numOfNodes,operations
0,40,50,5301
0,80,50,5131
0,120,50,5114
0,160,50,5124
0,200,50,5128
0,240,50,5151
0,280,50,5171
0,320,50,5182
0,360,50,5189
0,400,50,5174
0,440,50,5196
0,480,50,5212
0,520,50,5216
0,560,50,5198
0,600,50,5203
0,640,50,5206
0,680,50,5240
0,720,50,5262
0,760,50,5260
0,800,50,5264
