time_taken(ms),numOfEdges,numOfNodes,operations
1001,40,140,2203
1002,80,140,2443
1000,120,140,2683
22000,160,140,10039
20002,200,140,10746
21000,240,140,11743
26003,280,140,12440
24004,320,140,12910
24993,360,140,13247
22000,400,140,13752
23004,440,140,13914
23996,480,140,14465
21999,520,140,14839
22999,560,140,15125
22994,600,140,15349
24010,640,140,15763
22993,680,140,16091
23000,720,140,16301
21999,760,140,16561
20000,800,140,16998
