time_taken(ms),numOfEdges,numOfNodes,operations
0,40,240,3603
1001,80,240,3843
1003,120,240,4104
1000,160,240,4344
1002,200,240,4584
31994,240,240,17291
29999,280,240,18770
28998,320,240,20080
30997,360,240,21282
33000,400,240,22037
32999,440,240,22939
34001,480,240,23669
37005,520,240,24135
36004,560,240,24295
37997,600,240,24703
43995,640,240,25344
35999,680,240,25682
35005,720,240,25993
34999,760,240,26397
33999,800,240,26737
