time_taken(ms),numOfEdges,numOfNodes,operations
996,40,180,2763
0,80,180,3003
6999,120,180,4869
26998,160,180,11020
24999,200,180,12956
27999,240,180,14556
33998,280,180,15650
31997,320,180,16161
38002,360,180,16709
38004,400,180,17028
33000,440,180,17622
33999,480,180,17990
33999,520,180,18227
33004,560,180,18585
31000,600,180,19200
31000,640,180,19559
28989,680,180,19689
30000,720,180,20099
32997,760,180,20194
30999,800,180,20674
