time_taken(ms),numOfEdges,numOfNodes,operations
1004,40,220,3368
1995,80,220,3696
11002,120,220,6664
25997,160,220,11312
31003,200,220,14378
38995,240,220,16432
38999,280,220,17801
30999,320,220,19671
40004,360,220,20748
32993,400,220,21054
36001,440,220,21502
35004,480,220,21778
35996,520,220,22286
33000,560,220,22616
35997,600,220,22955
34990,640,220,23528
47005,680,220,23714
38997,720,220,24214
36000,760,220,24374
35003,800,220,24651
