time_taken(ms),numOfEdges,numOfNodes,operations
0,40,150,55875
0,80,150,55875
1003,120,150,48208
0,160,150,46792
0,200,150,45746
0,240,150,45714
0,280,150,45655
0,320,150,45689
0,360,150,45695
1006,400,150,45697
0,440,150,45685
999,480,150,45718
0,520,150,45769
0,560,150,45642
0,600,150,45676
0,640,150,45686
0,680,150,45692
0,720,150,45709
0,760,150,45733
0,800,150,45735
