time_taken(ms),numOfEdges,numOfNodes,operations
0,40,120,1923
1005,80,120,2235
16998,120,120,7685
18000,160,120,9226
18996,200,120,9728
18002,240,120,10395
18999,280,120,10890
20002,320,120,11270
19003,360,120,11554
17999,400,120,12104
21002,440,120,12332
18999,480,120,12774
18997,520,120,13088
20002,560,120,13363
20996,600,120,13475
18994,640,120,13845
19003,680,120,14133
20999,720,120,14588
22001,760,120,14825
21008,800,120,14980
