time_taken(ms),numOfEdges,numOfNodes,operations
0,40,110,29601
0,80,110,25743
0,120,110,24862
0,160,110,24621
0,200,110,24536
0,240,110,24624
0,280,110,24647
0,320,110,24648
0,360,110,24558
0,400,110,24557
0,440,110,24608
0,480,110,24581
0,520,110,24600
0,560,110,24600
0,600,110,24607
0,640,110,24634
0,680,110,24649
0,720,110,24639
0,760,110,24647
0,800,110,24643
